"id","name","slug","brand","category","strain","thc","cbd","lab_test"
"58","Original Healing Balm","earth-pharm-laboratories-original-healing-balm","Earth Pharm Laboratories","Topical,",,"60.80mg",,
"59","Dream Queen - 5 Pack - Pre-roll","lit-sticks-dream-queen-5-pack-pre-roll","Lit Sticks","Flowers,Pre-Roll",,,,
"60","Grandpa Larry - 3 Pack - Pre-roll","lit-sticks-grandpa-larry-3-pack-pre-roll","Lit Sticks","Flowers,Pre-Roll",,,,
"61","Sativa Blend - 3 Pack - Pre-roll","lit-sticks-sativa-blend-3-pack-pre-roll","Lit Sticks","Flowers,Pre-Roll",,,,
"62","Indica Blend - 3 Pack - Pre-roll","lit-sticks-indica-blend-3-pack-pre-roll","Lit Sticks","Flowers,Pre-Roll",,,,
"63","Cherry Pie - 3 Pack - Pre-roll","lit-sticks-cherry-pie-3-pack-pre-roll","Lit Sticks","Flowers,Pre-Roll",,,,
"64","Dream Queen - 3 Pack - Pre-roll","lit-sticks-dream-queen-3-pack-pre-roll","Lit Sticks","Flowers,Pre-Roll",,,,
"65","Cherry Pie - 5 Pack - Pre-roll","lit-sticks-cherry-pie-5-pack-pre-roll","Lit Sticks","Flowers,Pre-Roll",,,,
"66","Sativa Blend - 5 Pack - Pre-roll","lit-sticks-sativa-blend-5-pack-pre-roll","Lit Sticks","Flowers,Pre-Roll",,,,
"67","Indica Blend - 5 Pack - Pre-roll","lit-sticks-indica-blend-5-pack-pre-roll","Lit Sticks","Flowers,Pre-Roll",,,,
"68","Dream Queen - Pre-roll","lit-sticks-dream-queen-pre-roll","Lit Sticks","Flowers,Pre-Roll",,,,
"69","Cherry Pie - Pre-roll","lit-sticks-cherry-pie-pre-roll","Lit Sticks","Flowers,Pre-Roll",,,,
"70","Indica Blend - Pre-roll","lit-sticks-indica-blend-pre-roll","Lit Sticks","Flowers,Pre-Roll",,,,
"71","Sativa Blend - Pre-roll","lit-sticks-sativa-blend-pre-roll","Lit Sticks","Flowers,Pre-Roll",,,,
"72","Pain Re-leaf Ointment - 4oz","chronic-health-pain-re-leaf-ointment-4oz","Chronic Health","Topical,",,"700mg",,
"73","Pain Re-leaf Ointment - 2oz","chronic-health-pain-re-leaf-ointment-2oz","Chronic Health","Topical,",,"350mg",,
"74","2:1 Ratio Suppositories","canniatric-tinctures-2-1-ratio-suppositories","Canniatric Tinctures",,,,,
"75","SuperNova Cannabis Extract ","canniatric-tinctures-supernova-cannabis-extract","Canniatric Tinctures",,,,,
"76","Organic Cannabis Cream","canniatric-tinctures-organic-cannabis-cream","Canniatric Tinctures","Topical,",,,,
"77","Dragon Oil","love-light-bakery-dragon-oil","Love & Light Bakery","Topical,",,,,
"78","Dragon Balm","love-light-bakery-dragon-balm","Love & Light Bakery","Topical,",,,,
"79","K9 Releaf Rub","better-brands-k9-releaf-rub","Better Brands",,,,,
"80","Tea Tree Lavender Salve - 1 oz.","infinite-flower-organics-tea-tree-lavender-salve-1-oz","Infinite Flower Organics","Topical,",,,,
"81","Gorilla Glue #4 w/Sour Lemon Rosin - Pre-roll","pacific-remedy-gorilla-glue-4-w-sour-lemon-rosin-pre-roll","Pacific Remedy","Flowers,Pre-Roll",,,,
"82","Super Lemon Jack w/Rosin - Pre-roll","pacific-remedy-super-lemon-jack-w-rosin-pre-roll","Pacific Remedy","Flowers,Pre-Roll",,,,
"83","3 Pack - Indica, Hybrid, Sativa","zen-pen-3-pack-indica-hybrid-sativa","Zen Pen",,,,,
"84","Head Trip Chemotherapy Shampoo","kush-creams-head-trip-chemotherapy-shampoo","Kush Creams",,,,,
"85","Brain Freeze Chemo Conditioner","kush-creams-brain-freeze-chemo-conditioner","Kush Creams",,,,,
"86","Deep Healer Suppositories (6 Doses)","sacred-medicinals-joy-deep-healer-suppositories-6-doses","Sacred Medicinals (JOYâ„¢)",,,,,
"87","Deep Healers Suppositories (20 Doses)","sacred-medicinals-joy-deep-healers-suppositories-20-doses","Sacred Medicinals (JOYâ„¢)",,,,,
"88","Lavender Bath Fizzer","om-edibles-medicinals-lavender-bath-fizzer","Om Edibles + Medicinals","Topical,Bath,",,"25mg",,
"89","Deep Forest Pine Bath Fizzer","om-edibles-medicinals-deep-forest-pine-bath-fizzer","Om Edibles + Medicinals","Topical,Bath,",,"25mg",,
"90","Creamy Neroli Bath Fizzer","om-edibles-medicinals-creamy-neroli-bath-fizzer","Om Edibles + Medicinals","Topical,Bath,",,"25mg",,
"91","Revitacel 30ml","achelois-revitacel-30ml","Achelois","Topical,",,,,
"92","Freedom Lotion 50ml","achelois-freedom-lotion-50ml","Achelois","Topical,",,,,
"93","Stoic Balm Tin - 4oz ","daddy-bones-balm-stoic-balm-tin-4oz","Daddy Bones Balm","Topical,",,,,
"94","Super Skin Salve 4oz","flower-power-super-skin-salve-4oz","Flower Power","Topical,",,,,
"95","Muscle, Joint & Bruise Balm 4oz","flower-power-muscle-joint-bruise-balm-4oz","Flower Power","Topical,",,,,
"96","Stoney Stick - Girl Scout Cookies - Pre-roll","stoney-mountain-farms-stoney-stick-girl-scout-cookies-pre-roll","Stoney Mountain Farms","Flowers,Pre-Roll",,,,
"97","ABX Soft Case & Battery","absolutextracts-abx-soft-case-battery","AbsoluteXtracts",,,,,
"98","ABX Hard Case & Battery","absolutextracts-abx-hard-case-battery","AbsoluteXtracts",,,,,
"99","Caffeine Fein Scrub","high-mermaid-bath-body-caffeine-fein-scrub","High Mermaid Bath &+ Body","Topical,",,"200mg",,
"100","Body Budder - Small","high-mermaid-bath-body-body-budder-small","High Mermaid Bath &+ Body","Topical,",,"100mg",,
"101","Body Budder - Large","high-mermaid-bath-body-body-budder-large","High Mermaid Bath &+ Body","Topical,",,"200mg",,
"102","Bath Bombs","high-mermaid-bath-body-bath-bombs","High Mermaid Bath &+ Body","Topical,Bath,",,"45mg",,
"103","Hybrid - Pre-roll","canna-cones-hybrid-pre-roll","Canna Cones","Flowers,Pre-Roll",,,,
"104","Sativa - Pre-roll","canna-cones-sativa-pre-roll","Canna Cones","Flowers,Pre-Roll",,,,
"105","Indica - Pre-roll","canna-cones-indica-pre-roll","Canna Cones","Flowers,Pre-Roll",,,,
"106","Pre Roll - Single With 25% Ice Water Hash - Pre-roll","highrize-pre-roll-single-with-25-ice-water-hash-pre-roll","Highrize","Flowers,Pre-Roll",,,,
"107","Churros - Pre-roll","your-highness-churros-pre-roll","Your Highness","Flowers,Pre-Roll",,,,
"108","Yerba Buena Farms x HighRize 12 Pack - Pre-roll","yerba-buena-farms-yerba-buena-farms-x-highrize-12-pack-pre-roll","Yerba Buena Farms","Flowers,Pre-Roll",,,,
"109","Jah-Goo 12 Pack Joints - Pre-roll","jjj-triple-j-jah-goo-12-pack-joints-pre-roll","JJJ (Triple J)","Flowers,Pre-Roll",,,,
"110","Pre Rolls - 12 Pack With 25% Ice Water Hash - Pre-roll","highrize-pre-rolls-12-pack-with-25-ice-water-hash-pre-roll","Highrize","Flowers,Pre-Roll",,,,
"111","Medicated Topical Massage Candle - Grapefruit Acai","wow-candles-medicated-topical-massage-candle-grapefruit-acai","WOW Candles","Topical,",,"1,000mg",,
"112","Medicated Topical Massage Candle - Lavender Jasmine","wow-candles-medicated-topical-massage-candle-lavender-jasmine","WOW Candles","Topical,",,"1,000mg",,
"113","Medicated Topical Massage Candle - CBD White Tea Ginger","wow-candles-medicated-topical-massage-candle-cbd-white-tea-ginger","WOW Candles","Topical,",,,"250mg",
"114","Medicated Topical Massage Candle - Blood Orange","wow-candles-medicated-topical-massage-candle-blood-orange","WOW Candles","Topical,",,"1,000mg",,
"115","Medicated Bath Soak","blazed-goddess-goodies-medicated-bath-soak","Blazed Goddess Goodies","Topical,Bath,",,"125mg",,
"116","Cheer Up Butter Cup Goddess Lotion","blazed-goddess-goodies-cheer-up-butter-cup-goddess-lotion","Blazed Goddess Goodies","Topical,",,"200mg",,
"117","Medicated Lip Balm - Berry Blast","nectar-stick-medicated-lip-balm-berry-blast","Nectar Stick","Topical,",,"20mg","20mg",
"118","Lip Balm - Memory Melon","nectar-stick-lip-balm-memory-melon","Nectar Stick","Topical,",,,"20mg",
"119","Whip It - CBD","gem-stonz-botanicals-whip-it-cbd","Gem Stonz Botanicals","Topical,",,,,
"120","Whip It","gem-stonz-botanicals-whip-it","Gem Stonz Botanicals","Topical,",,,,
"121","Treat It","gem-stonz-botanicals-treat-it","Gem Stonz Botanicals","Topical,",,,,
"122","Soothe It","gem-stonz-botanicals-soothe-it","Gem Stonz Botanicals","Topical,",,,,
"123","Rub It","gem-stonz-botanicals-rub-it","Gem Stonz Botanicals","Topical,",,,,
"124","Lube It","gem-stonz-botanicals-lube-it","Gem Stonz Botanicals",,,,,
"125","Lip It","gem-stonz-botanicals-lip-it","Gem Stonz Botanicals","Topical,",,,,
"126","Ink It","gem-stonz-botanicals-ink-it","Gem Stonz Botanicals","Topical,",,,,
"127","Heal It","gem-stonz-botanicals-heal-it","Gem Stonz Botanicals","Topical,",,,,
"128","Tea Tree Lavender Salve - 2 oz.","infinite-flower-organics-tea-tree-lavender-salve-2-oz","Infinite Flower Organics","Topical,",,,,
"129","Sandalwood Salve - 2 oz.","infinite-flower-organics-sandalwood-salve-2-oz","Infinite Flower Organics","Topical,",,,,
"130","Lemon Eucalyptus Salve - 2 oz.","infinite-flower-organics-lemon-eucalyptus-salve-2-oz","Infinite Flower Organics","Topical,",,,,
"131","Lemon Eucalyptus Salve - 1 oz.","infinite-flower-organics-lemon-eucalyptus-salve-1-oz","Infinite Flower Organics","Topical,",,,,
"132","Bergamot Patchouli Salve - 2 oz.","infinite-flower-organics-bergamot-patchouli-salve-2-oz","Infinite Flower Organics","Topical,",,,,
"133","Bergamot Patchouli Salve - 1 oz.","infinite-flower-organics-bergamot-patchouli-salve-1-oz","Infinite Flower Organics","Topical,",,,,
"134","Healing Lip Balm","infinite-flower-organics-healing-lip-balm","Infinite Flower Organics","Topical,",,,,
"135","Field Balm - 2oz.","leif-medicinals-field-balm-2oz","Leif Medicinals","Topical,",,,,
"136","Thin Mint Bath Bomb","de-la-beuh-thin-mint-bath-bomb","De La Beuh","Topical,Bath,",,,,
"137","Lemon Bath Bomb","de-la-beuh-lemon-bath-bomb","De La Beuh","Topical,Bath,",,,,
"138","Tangie Bath Bomb","de-la-beuh-tangie-bath-bomb","De La Beuh","Topical,Bath,",,,,
"139","Tangie Scrub","de-la-beuh-tangie-scrub","De La Beuh","Topical,Bath,",,"100mg",,
"140","Cinnamon Scrub","de-la-beuh-cinnamon-scrub","De La Beuh","Topical,Bath,",,"100mg",,
"141","Lavender Scrub","de-la-beuh-lavender-scrub","De La Beuh","Topical,Bath,",,"100mg",,
"142","Lemon Scrub","de-la-beuh-lemon-scrub","De La Beuh","Topical,Bath,",,"100mg",,
"143","Coffee Scrub Pouch","de-la-beuh-coffee-scrub-pouch","De La Beuh","Topical,Bath,",,"78.55mg","0.66mg",
"144","Bubble Bar","de-la-beuh-bubble-bar","De La Beuh","Topical,Bath,",,,,
"145","Lavender Bath Bomb","de-la-beuh-lavender-bath-bomb","De La Beuh","Topical,Bath,",,,,
"146","Thin Mint Scrub","de-la-beuh-thin-mint-scrub","De La Beuh","Topical,Bath,",,"100mg",,
"147","Wild Crafted Cannabis Salve 1oz Jar","big-sur-botanicals-wild-crafted-cannabis-salve-1oz-jar","Big Sur Botanicals","Topical,",,,,
"148","Wild Crafted Cannabis Salve Roll-On","big-sur-botanicals-wild-crafted-cannabis-salve-roll-on","Big Sur Botanicals","Topical,",,,,
"149","Rose Cannabis Salve 1oz Jar","big-sur-botanicals-rose-cannabis-salve-1oz-jar","Big Sur Botanicals","Topical,",,,,
"150","Rose Cannbis Salve Roll-On","big-sur-botanicals-rose-cannbis-salve-roll-on","Big Sur Botanicals","Topical,",,,,
"151","Girl Scout Cookie Muscle Rub 1oz Jar","big-sur-botanicals-girl-scout-cookie-muscle-rub-1oz-jar","Big Sur Botanicals","Topical,",,,,
"152","Girl Scout Cookie Muscle Rub Roll-On","big-sur-botanicals-girl-scout-cookie-muscle-rub-roll-on","Big Sur Botanicals","Topical,",,,,
"153","Canna Balm","doc-greens-canna-balm","Doc Greens","Topical,",,"500mg",,
"154","Aloe Based Face & Eye Cream","kush-creams-aloe-based-face-eye-cream","Kush Creams","Topical,",,,,
"155","Organic Perma Frost 4oz","kush-creams-organic-perma-frost-4oz","Kush Creams","Topical,",,,,
"156","Organic Perma Frost 1oz","kush-creams-organic-perma-frost-1oz","Kush Creams","Topical,",,,,
"157","Illuminatus Black - Pre-roll","illuminatus-illuminatus-black-pre-roll","Illuminatus","Flowers,Pre-Roll",,,,
"158","Illuminatus Red - Pre-roll","illuminatus-illuminatus-red-pre-roll","Illuminatus","Flowers,Pre-Roll",,,,
"159","Permafrost/Permafrost Twax - Pre-roll","rogue-raven-farms-permafrost-permafrost-twax-pre-roll","Rogue Raven Farms","Flowers,Pre-Roll",,,,
"160","Medicated Rubbing Alcohol","og-cali-buds-medicated-rubbing-alcohol","OG Cali Buds","Topical,",,,,
"161","Cannabis Plus Salve","cannabis-plus-cannabis-plus-salve","Cannabis Plus","Topical,",,,,
"162",".5g Mr. Nice - Pre-roll","chalice-farms-5g-mr-nice-pre-roll","Chalice Farms","Flowers,Pre-Roll",,,,
"163",".5g Marionberry - Pre-roll","chalice-farms-5g-marionberry-pre-roll","Chalice Farms","Flowers,Pre-Roll",,,,
"164",".5g Mango Kush - Pre-roll","chalice-farms-5g-mango-kush-pre-roll","Chalice Farms","Flowers,Pre-Roll",,,,
"165",".5g Jillybean - Pre-roll","chalice-farms-5g-jillybean-pre-roll","Chalice Farms","Flowers,Pre-Roll",,,,
"166","Rub 4 oz","whoopi-maya-rub-4-oz","Whoopi & Maya","Topical,",,"50mg","15mg",
"167","Rub 2 oz","whoopi-maya-rub-2-oz","Whoopi & Maya","Topical,",,"25mg","10mg",
"168","Soak - Unscented","whoopi-maya-soak-unscented","Whoopi & Maya","Topical,Bath,",,,,
"169","Soak - Amber Moon","whoopi-maya-soak-amber-moon","Whoopi & Maya","Topical,Bath,",,,,
"170","Soak - Lavender ","whoopi-maya-soak-lavender","Whoopi & Maya","Topical,Bath,",,,,
"171","Mini Pain Stick","sacred-herb-medicinals-mini-pain-stick","Sacred Herb Medicinals","Topical,",,,,
"172","Ingrid - Pre-roll","yerba-buena-farms-ingrid-pre-roll","Yerba Buena Farms","Flowers,Pre-Roll",,,,
"173","Breath Deep Bubble Bar","high-mermaid-bath-body-breath-deep-bubble-bar","High Mermaid Bath &+ Body","Topical,Bath,",,,,
"174","Sunny Side Bubble Bar","high-mermaid-bath-body-sunny-side-bubble-bar","High Mermaid Bath &+ Body","Topical,Bath,",,,,
"175","Dream a Dream Bubble Bar","high-mermaid-bath-body-dream-a-dream-bubble-bar","High Mermaid Bath &+ Body","Topical,Bath,",,,,
"176","X-Pen","elixinol-x-pen","Elixinol",,,,"1,000mg","https://www.cannabisreports.com/lab-tests/1/140c73d2606fded84e6a14ca07aed77eb1e73827.pdf"
"177","Salve - Serendipity","laughing-lotus-farms-salve-serendipity","Laughing Lotus Farms","Topical,",,,,
"178","PlusCBD Oil","pluscbd-oil-pluscbd-oil","PlusCBD oilâ„¢","Topical,",,,"50mg",
"179","Lip Balm - Cannabis & Tangerine","awakened-topicals-lip-balm-cannabis-tangerine","Awakened Topicals","Topical,",,,,
"180","Natural w/CBD Balm Stick - 2oz","daddy-bones-balm-natural-w-cbd-balm-stick-2oz","Daddy Bones Balm","Topical,",,,,
"181","Stoic Balm Stick - 2oz","daddy-bones-balm-stoic-balm-stick-2oz","Daddy Bones Balm","Topical,",,,,
"182","Heat Balm Stick - 2oz","daddy-bones-balm-heat-balm-stick-2oz","Daddy Bones Balm","Topical,",,,,
"183","Mood Balm Stick - 2oz","daddy-bones-balm-mood-balm-stick-2oz","Daddy Bones Balm","Topical,",,,,
"184","Natural w/CBD Balm Tin - 2oz","daddy-bones-balm-natural-w-cbd-balm-tin-2oz","Daddy Bones Balm","Topical,",,,,
"185","Stoic Balm Tin - 2oz","daddy-bones-balm-stoic-balm-tin-2oz","Daddy Bones Balm","Topical,",,,,
"186","Heat Balm Tin - 2oz","daddy-bones-balm-heat-balm-tin-2oz","Daddy Bones Balm","Topical,",,,,
"187","House Pre-Roll - Pre-roll","natures-remedy-collective-house-pre-roll-pre-roll","Natures Remedy Collective","Flowers,Pre-Roll",,,,
"188","Key Lime Pie Pre-Roll - Pre-roll","natures-remedy-collective-key-lime-pie-pre-roll-pre-roll","Natures Remedy Collective","Flowers,Pre-Roll",,,,
"189","Blue Dream Pre-Roll - Pre-roll","natures-remedy-collective-blue-dream-pre-roll-pre-roll","Natures Remedy Collective","Flowers,Pre-Roll",,,,
"190","Up And Moving - Large Dogs (30 Pack)","therabis-up-and-moving-large-dogs-30-pack","Therabis",,,,,
"191","Up And Moving - Large Dogs (5 Pack)","therabis-up-and-moving-large-dogs-5-pack","Therabis",,,,,
"192","Up And Moving - Medium Dogs (30 Pack)","therabis-up-and-moving-medium-dogs-30-pack","Therabis",,,,,
"193","Up And Moving - Medium Dogs (5 Pack)","therabis-up-and-moving-medium-dogs-5-pack","Therabis",,,,,
"194","Up And Moving - Small Dogs (30 Pack)","therabis-up-and-moving-small-dogs-30-pack","Therabis",,,,,
"195","Up And Moving - Small Dogs (5 Pack)","therabis-up-and-moving-small-dogs-5-pack","Therabis",,,,,
"196","Calm And Quiet - Large Dogs (30 Pack)","therabis-calm-and-quiet-large-dogs-30-pack","Therabis",,,,,
"197","Calm And Quiet - Large Dogs (5 Pack)","therabis-calm-and-quiet-large-dogs-5-pack","Therabis",,,,,
"198","Calm And Quiet - Medium Dogs (30 Pack)","therabis-calm-and-quiet-medium-dogs-30-pack","Therabis",,,,,
"199","Calm And Quiet - Medium Dogs (5 Pack)","therabis-calm-and-quiet-medium-dogs-5-pack","Therabis",,,,,
"200","Calm And Quiet - Small Dogs (30 Pack)","therabis-calm-and-quiet-small-dogs-30-pack","Therabis",,,,,
"201","Calm And Quiet - Small Dogs (5 Pack)","therabis-calm-and-quiet-small-dogs-5-pack","Therabis",,,,,
"202","Stop The Itch - Large Dogs (30 Pack)","therabis-stop-the-itch-large-dogs-30-pack","Therabis",,,,,
"203","Stop The Itch - Large Dogs (5 Pack)","therabis-stop-the-itch-large-dogs-5-pack","Therabis",,,,,
"204","Stop The Itch - Medium Dogs (5 Pack)","therabis-stop-the-itch-medium-dogs-5-pack","Therabis",,,,,
"205","Stop The Itch - Medium Dogs (30 Pack)","therabis-stop-the-itch-medium-dogs-30-pack","Therabis",,,,,
"206","Stop The Itch - Small Dogs (30 Pack)","therabis-stop-the-itch-small-dogs-30-pack","Therabis",,,,,
"207","Stop The Itch - Small Dogs (5 Pack)","therabis-stop-the-itch-small-dogs-5-pack","Therabis",,,,,
"208","Relief (4 Pack)","foria-relief-4-pack","Foria",,,"240mg","40mg",
"209","Topicanna Emerald","topicanna-topicanna-emerald","Topicanna","Topical,",,,,
"210","Topicanna Golden","topicanna-topicanna-golden","Topicanna","Topical,",,,,
"211","Floracy CBD Oil 4:1","floracy-floracy-cbd-oil-4-1","Floracy","Topical,",,"10mg","45mg",
"212","Floracy CBD Oil 25:1 ","floracy-floracy-cbd-oil-25-1","Floracy","Topical,",,"2mg","55mg",
"213","Bash OG - Pre-roll","california-finest-bash-og-pre-roll","California Finest","Flowers,Pre-Roll","Girl Scout Cookies",,,
"214","Sour Cookies Kush  - Pre-roll","california-finest-sour-cookies-kush-pre-roll","California Finest","Flowers,Pre-Roll","Girl Scout Cookies",,,
"215","Dutch Treat - Pre-roll","vines-dutch-treat-pre-roll","Vines","Flowers,Pre-Roll","Girl Scout Cookies",,,
"216","OG Kush - Pre-roll","vines-og-kush-pre-roll","Vines","Flowers,Pre-Roll","Girl Scout Cookies",,,
"217","Blood Orange Lotion","tree-lotion-inc-blood-orange-lotion","Tree Lotion Inc.","Topical,","Girl Scout Cookies",,,
"218","Hippie Stick - Sativa - Pre-roll","hippie-stick-hippie-stick-sativa-pre-roll","Hippie Stick","Flowers,Pre-Roll","Girl Scout Cookies",,,
"219","Hippie Stick - Indica - Pre-roll","hippie-stick-hippie-stick-indica-pre-roll","Hippie Stick","Flowers,Pre-Roll","Girl Scout Cookies",,,
"220","Trainwreck - Pre-roll","emeralds-trainwreck-pre-roll","Emeralds","Flowers,Pre-Roll","Girl Scout Cookies",,,
"221","Super Sweet Skunk - Pre-roll","emeralds-super-sweet-skunk-pre-roll","Emeralds","Flowers,Pre-Roll","Girl Scout Cookies",,,
"222","Strawberry Bubba - Pre-roll","emeralds-strawberry-bubba-pre-roll","Emeralds","Flowers,Pre-Roll","Girl Scout Cookies",,,
"223","Sour Limon - Pre-roll","emeralds-sour-limon-pre-roll","Emeralds","Flowers,Pre-Roll","Girl Scout Cookies",,,
"224","Royal Purple - Pre-roll","emeralds-royal-purple-pre-roll","Emeralds","Flowers,Pre-Roll","Girl Scout Cookies",,,
"225",,"n-a",,,"Girl Scout Cookies",,,
"226","Romulan - Pre-roll","emeralds-romulan-pre-roll","Emeralds","Flowers,Pre-Roll","Romulan",,,
