"id","status","sort","name","slug","image","description","type","crosses","breeder","effects","ailment","flavor","location","terpenes","thc","thca","thcv","cbd","cbda","cbdv","cbn","cbg","cbgm","cbgv","cbc","cbcv","cbv","cbe","cbt","cbl"
"12","1","0","Afgoo",NULL,NULL,NULL,"Indica","0",,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious","Stress, Pain, Insomnia, Lack of Appetite, Muscle Spasms","Pine, Earthy, Citrus",NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"13","1","0","Afgooey",NULL,NULL,NULL,"Indica","0",,"Relaxed, Happy, Sleepy, Euphoric, Dry Mouth, Paranoid, Anxious","Pain, Insomnia, Lack of Appetite, Stress, Muscle Spasms","Earthy, Pine",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"14","1","0","Afwreck",NULL,NULL,NULL,"Hybrid","0","Unknown Breeder",NULL,NULL,NULL,NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"15","1","0","Agent Orange",NULL,NULL,NULL,"Hybrid","455, 386","TGA Seeds",NULL,NULL,NULL,NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"16","1","0","AK-47",NULL,NULL,NULL,"Hybrid","10, 257","Serious Seeds",NULL,NULL,NULL,NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"17","1","0","AK-48",NULL,NULL,NULL,"Hybrid","0","Nirvana",NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"18","1","0","Alaskan Thunder Fuck",NULL,NULL,NULL,"Sativa","0","Northern View Collective","Happy, Euphoric, Uplifted, Energetic, Relaxed, Dry Mouth, Paranoid, Anxious","Stress, Depression, Lack of Appetite, Pain","Earthy, Pine","Mt. Shasta, CA",NULL,"1500",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"19","1","0","Alien Kush",NULL,NULL,NULL,"Hybrid","0","The Cali Connection",,,"Earthy",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"20","1","0","Aloha",NULL,NULL,NULL,"Hybrid","0","Unknown Breeder","Energetic, Uplifted, Happy, Creative, Focused, Dry Mouth, Anxious","Depression, Stress, Pain","Sweet, Citrus",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"21","1","0","Alohaberry",NULL,NULL,NULL,"Hybrid","0",,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"22","1","0","Ambrosia",NULL,NULL,NULL,"Hybrid","139,81","Jordan of the Islands",NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"23","1","0","Amethyst",NULL,NULL,NULL,"Hybrid","0","Gage Green Group",NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"24","1","0","Amnesia Haze",NULL,NULL,NULL,"Hybrid","0","Soma Seeds","Happy, Uplifted, Euphoric, Energetic, Creative, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain","Citrus, Lemon, Earthy",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"25","1","0","Anesthesia",NULL,NULL,NULL,"Indica","0",,"Hungry, Sleepy, Happy, Euphoric, Creative, Paranoid, Anxious","Pain, Stress, Insomnia, Lack of Appetite","Earthy",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"26","1","0","Apollo 11",NULL,NULL,NULL,"Hybrid","0","Brothers Grimm Marijuana Seed Bank",NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"27","1","0","Arabian Gold",NULL,NULL,NULL,"Hybrid","0","Unknown Breeder","Euphoric, Tingly, Sleepy, Creative, Paranoid","Stress, Insomnia, Pain",,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"28","1","0","Arjan's Strawberry Haze",NULL,NULL,NULL,"Hybrid","268, 174","Green House",NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"29","1","0","Atomic Northern Lights",NULL,NULL,NULL,"Hybrid","0","Dr. Atomic",NULL,NULL,NULL,", CA",NULL,"1100",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"30","1","0","A-Train",NULL,NULL,NULL,"Hybrid","0","T.H.Seeds",NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"31","1","0","Avalon",NULL,NULL,NULL,"Hybrid","10, 66","Next Generation Seeds",NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"32","1","0","Banana Diesel",NULL,NULL,NULL,"Hybrid","0","Baked Genetics",NULL,NULL,NULL,NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"33","1","0","Banana Kush",NULL,NULL,NULL,"Hybrid","0","Crockett Family Farms",NULL,NULL,NULL,"Lake Forest, CA",NULL,"1700",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"34","1","0","BC Roadkill",NULL,NULL,NULL,"Hybrid","0","Cannacopia Seeds",NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"35","1","0","BC Sweet Tooth",NULL,NULL,NULL,"Hybrid","0","BC Bud Depot","Uplifted, Happy, Relaxed, Sleepy, Euphoric, Dry Mouth, Paranoid","Stress, Insomnia, Depression, Nausea, Pain","Sweet, Honey",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"36","1","0","Berkeley",NULL,NULL,NULL,"Hybrid","0","Unknown Breeder","Talkative, Happy, Uplifted, Energetic, Focused, Anxious, Dry Mouth, Paranoid","Stress, Depression, Lack of Appetite, Pain","Citrus, Sweet",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"37","1","0","Berry White",NULL,NULL,NULL,"Hybrid","0","Unknown Breeder","Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Paranoid, Anxious","Stress, Pain, Depression, Insomnia","Berry, Sweet, Blueberry","Sherman Oaks, CA",NULL,"1600",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"38","1","0","Big Bud",NULL,NULL,NULL,"Hybrid","267","Seed Bank","Relaxed, Sleepy, Hungry, Happy, Euphoric, Dry Mouth, Paranoid","Stress, Pain, Insomnia, Depression, Muscle Spasms","Earthy",NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"39","1","0","Big Budda Cheese",NULL,NULL,NULL,"Hybrid","370, 10","Big Buddha",NULL,NULL,NULL,NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"40","1","0","Big Wreck",NULL,NULL,NULL,"Hybrid","0","Unknown Breeder","Euphoric, Relaxed, Uplifted, Tingly, Happy, Dry Mouth, Paranoid","Stress, Insomnia, Depression, Lack of Appetite, Muscle Spasms","Earthy",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"41","1","0","Black Dhalia",NULL,NULL,NULL,"Hybrid","0",,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"42","1","0","Black Diesel",NULL,NULL,NULL,"Hybrid","0","Advanced Seeds",NULL,NULL,NULL,NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"43","1","0","Black Domina",NULL,NULL,NULL,"Hybrid","0","Sensi Seeds","Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid","Stress, Depression, Pain, Insomnia, Lack of Appetite","Pine, Pepper",NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"44","1","0","Black Jack",NULL,NULL,NULL,"Hybrid","0","Sweet Seeds",NULL,NULL,NULL,"Pomona, CA",NULL,"1800",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"45","1","0","Black Label Kush",NULL,NULL,NULL,"Indica","0",,"Euphoric, Relaxed, Sleepy, Happy, Uplifted, Dry Mouth, Paranoid","Stress, Pain, Insomnia, Depression, Inflammation","Berry",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"46","1","0","Black Widow",NULL,NULL,NULL,"Hybrid","0","Shantibaba",NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"47","1","0","Blackberry",NULL,NULL,NULL,"Hybrid","0","Nebu",NULL,NULL,NULL,"Lake Forest, CA",NULL,"1300",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"48","1","0","Blackberry Hashplant",NULL,NULL,NULL,"Indica","0",,"Euphoric, Sleepy, Uplifted, Energetic, Happy, Dry Mouth, Paranoid","Pain, Stress, Insomnia, Nausea","Berry, Sweet, Earthy",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"49","1","0","Blackberry Kush",NULL,NULL,NULL,"Hybrid","0","Unknown Breeder","Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious","Stress, Pain, Insomnia, Depression, Nausea","Berry, Sweet, Earthy",", CA",NULL,"1300",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"50","1","0","Blockhead",NULL,NULL,NULL,"Hybrid","0","Spice of Life Seeds",NULL,NULL,NULL,NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"51","1","0","Blue Bayou",NULL,NULL,NULL,"Hybrid","0","Unknown Breeder","Uplifted, Creative, Happy, Sleepy, Dry Mouth","Nausea, Stress, Depression","Sweet",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"52","1","0","Blue Champagne",NULL,NULL,NULL,"Hybrid","0","Unknown Breeder",NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"53","1","0","Blue Cheese",NULL,NULL,NULL,"Hybrid","40, 66","Big Buddha Seeds","Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious","Stress, Insomnia, Pain, Depression","Blueberry",NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54","1","0","Blue Crack",NULL,NULL,NULL,"Hybrid","0","Unknown Breeder",NULL,NULL,NULL,NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"55","1","0","Blue Diesel",NULL,NULL,NULL,"Hybrid","0",,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"56","1","0","Blue Dragon",NULL,NULL,NULL,"Hybrid","0","Unknown Breeder",NULL,NULL,NULL,NULL,NULL,"127",NULL,NULL,"20",NULL,NULL,"20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"57","1","0","Blue Dream",NULL,NULL,NULL,"Hybrid","0","Unknown Breeder",NULL,NULL,NULL,"Los Angeles, CA",NULL,"2000",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"58","1","0","Blue Goo",NULL,NULL,NULL,"Hybrid","0","Bluegrass Seeds",NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"59","1","0","Blue Mystic",NULL,NULL,NULL,"Hybrid","66, 370","Unknown Breeder","Relaxed, Happy, Uplifted, Sleepy, Dry Mouth, Paranoid, Anxious","Stress, Depression, Nausea","Blueberry, Earthy, Sweet",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"60","1","0","Blue OG",NULL,NULL,NULL,"Hybrid","0","G13 Labs",NULL,NULL,NULL,NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"61","1","0","Blue Rhino",NULL,NULL,NULL,"Hybrid","0","Unknown Breeder",NULL,NULL,NULL,NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"62","1","0","Blue Satellite",NULL,NULL,NULL,"Hybrid","66","Spice of Life Seeds","Happy, Energetic, Horny, Uplifted, Euphoric, Dry Mouth, Paranoid","Stress, Pain, Nausea, Inflammation","Sweet, Blueberry",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"63","1","0","Blue Train",NULL,NULL,NULL,"Hybrid","0","Unknown Breeder",NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"64","1","0","Blue Widow",NULL,NULL,NULL,"Hybrid","0",,NULL,NULL,NULL,NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"65","1","0","Blueberry",NULL,NULL,NULL,"Hybrid","0","DJ Short","Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious","Stress, Pain, Depression, Insomnia, Lack of Appetite","Blueberry, Sweet, Berry","Lakeside, CA",NULL,"1600",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"66","1","0","Blueberry Diesel",NULL,NULL,NULL,"Hybrid","0","Unknown Breeder",NULL,NULL,NULL,NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"67","1","0","Blueberry Haze",NULL,NULL,NULL,"Hybrid","0","DNA Genetics",NULL,NULL,NULL,"6150 White Oak Lane, CA",NULL,"1200",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"68","1","0","Blueberry Headband",NULL,NULL,NULL,"Hybrid","0","Emerald Triangle",NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"69","1","0","Blueberry Kush",NULL,NULL,NULL,"Indica","0",,"Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Paranoid","Pain, Stress, Insomnia, Depression, Lack of Appetite","Blueberry, Berry, Sweet",NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"70","1","0","Boysenberry",NULL,NULL,NULL,"Hybrid","0","Bodhi Seeds",NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"71","1","0","Brainstorm Haze",NULL,NULL,NULL,"Hybrid","0","Delta-9 Labs","Talkative, Happy, Uplifted, Focused, Energetic, Dry Mouth, Anxious","Pain, Muscle Spasms, Stress, Depression, Nausea","Sweet, Earthy",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"72","1","0","Broke Diesel",NULL,NULL,NULL,"Hybrid","0","Unknown Breeder",NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"73","1","0","Bruce Banner",NULL,NULL,NULL,"Hybrid","0","Delta 9 Caregivers",NULL,NULL,NULL,"Richmond, CA",NULL,"1900",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"74","1","0","Bubba Kush",NULL,NULL,NULL,"Hybrid","0","Unknown Breeder","Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid","Pain, Stress, Insomnia, Depression, Lack of Appetite","Earthy, Sweet","Los Angeles, CA",NULL,"1800",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"75","1","0","Bubba OG",NULL,NULL,NULL,"Hybrid","0","Dr. Greenthumb Seeds","Relaxed, Happy, Sleepy, Uplifted, Euphoric, Dry Mouth, Paranoid","Stress, Pain, Depression, Insomnia, Nausea","Earthy, Sweet","Los Angeles, CA",NULL,"1600",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"76","1","0","Bubble Gum",NULL,NULL,NULL,"Hybrid","0","Serious Seeds",NULL,NULL,NULL,"Bakersfield, CA",NULL,"600",NULL,NULL,"1000",NULL,NULL,"100000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"77","1","0","Bubbleberry",NULL,NULL,NULL,"Hybrid","66, 77","Sagarmatha Seeds",NULL,NULL,NULL,NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"78","1","0","Bubblegun",NULL,NULL,NULL,"Hybrid","0","Unknown Breeder",NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"79","1","0","Buddha's Sister",NULL,NULL,NULL,"Hybrid","0","Soma",NULL,NULL,NULL,NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"80","1","0","Burmese Kush",NULL,NULL,NULL,"Hybrid","0",,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"81","1","0","Butterscotch",NULL,NULL,NULL,"Indica","0",,"Euphoric, Focused, Creative, Relaxed, Energetic, Dry Mouth, Paranoid","Stress, Depression, Insomnia, Muscle Spasms, Pain",,NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"82","1","0","C13 Haze",NULL,NULL,NULL,"Hybrid","0","DNA Genetics","Euphoric, Creative, Uplifted, Energetic, Dry Mouth, Paranoid","Pain, Stress, Muscle Spasms, Depression, Nausea","Earthy, Lemon",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"83","1","0","Cannadential",NULL,NULL,NULL,"Hybrid","0","DNA Genetics",NULL,NULL,NULL,NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"84","1","0","Cannalope Haze",NULL,NULL,NULL,"Hybrid","0","DNA Genetics","Happy, Relaxed, Focused, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious","Depression, Stress, Pain, Nausea","Sweet, Lime",NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"85","1","0","Carmelicious",NULL,NULL,NULL,"Hybrid","0",,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"86","1","0","Casey Jones",NULL,NULL,NULL,"Hybrid","0","Head Seeds","Euphoric, Energetic, Uplifted, Happy, Talkative, Dry Mouth, Paranoid, Anxious","Depression, Stress, Pain, Inflammation","Sweet, Earthy",NULL,NULL,"127",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"87","1","0","Cat Piss",NULL,NULL,NULL,"Hybrid","0","Unknown Breeder","Happy, Energetic, Creative, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain, Lack of Appetite","Ammonia, Earthy",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"88","1","0","Cataract Kush",NULL,NULL,NULL,"Hybrid","0","DNA Genetics",NULL,NULL,NULL,"Upland, CA",NULL,"1400",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"89","1","0","Champagne",NULL,NULL,NULL,"Hybrid","165, 180, 81","Unknown Breeder",NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"90","1","0","Charlottes Web",NULL,NULL,NULL,"Sativa","0",,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"91","1","0","Cheese",NULL,NULL,NULL,"Hybrid","0","Unknown Breeder",NULL,NULL,NULL,", CA",NULL,"1300",NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
