"id","name","slug","location","category","instagram"
"241","Cannabis Energy Drink","cannabis-energy-drink"," CA",,
"242","Cannabis Maximus","cannabis-maximus"," CO","Concentrates, ",
"243","Cannabisur (SPAIN)","cannabisur-spain"," CO","Flower, Edibles, Medical, ",
"244","Cannabitz by MJ2 edibles","cannabitz-by-mj2-edibles"," CO","Edibles, ",
"245","Cannabliss Arizona","cannabliss-arizona"," AZ","Edibles, ",
"246","CannaClear","cannaclear"," CA","Concentrates, ",
"247","Cannacopia","cannacopia"," CA","Vapes, ",
"248","Cannadips","cannadips"," CA",,
"249","Cannaisseur","cannaisseur"," CA","Medical, ",
"250","CANNAKI Premium CBD Water","cannaki-premium-cbd-water"," CA","Edibles, ",
"251","CannaKids","cannakids"," CA",,
"252","Cannaliza (SPAIN)","cannaliza-spain"," CA","Edibles, ",
"253","Cannamelo","cannamelo"," CA","Edibles, ",
"254","Cannamour","cannamour"," CA","Medical, ",
"255","CannaMX","cannamx"," CA","Concentrates, Vape Pens, Edibles, ",
"256","CannaPro","cannapro"," CA","Medical, ",
"257","CannaPunch","cannapunch"," CO","Edibles, ",
"258","Cannariginals Emu 420","cannariginals-emu-420"," Ca",,
"259","CannaSol","cannasol"," WA","Flower, ",
"260","Cannassentials","cannassentials"," Or","Flower, ",
"261","Cannatek (CANADA)","cannatek-canada"," British Columbia","Vapes, Medical, ",
"262","CannAthlete","cannathlete"," British Columbia","Medical, ",
"263","Cannavis Syrup","cannavis-syrup"," CA","Edibles, ",
"264","Cannavore","cannavore"," CA","Edibles, ",
"265","CannaWine","cannawine"," CA","Edibles, ",
"266","Cannazen LLC","cannazen-llc"," CA","Medical, ",
"267","CannBucha","cannbucha"," CA","Edibles, ",
"268","Canndescent","canndescent"," CA","Flower, ",
"269","Cannsalus","cannsalus"," CA","Medical, ",
"270","Canyon Cultivation","canyon-cultivation"," CO","Edibles, ",
"271","CAPE","cape"," CO","Flower, ",
"272","Capsylls","capsylls"," CO","Medical, ",
"273","Captain Puffs","captain-puffs"," CA","Flower, ",
"274","Care By Design","care-by-design"," CA","Vapes, Medical, ",
"275","Caribbean Edibles","caribbean-edibles"," CA","Medical, ",
"276","CasaLuna","casaluna"," CA","Edibles, ",
"277","Cascade Crops","cascade-crops"," CA","Flower, ",
"278","CascadeHigh Organics","cascadehigh-organics"," OR","Flower, ",
"279","CASCADIA Herbalsâ„¢ Tinctures","cascadia-herbals-tinctures"," OR",,
"280","Cascadia Reserve","cascadia-reserve"," CA","Vapes, ",
"281","CBD Alive","cbd-alive"," CA","Medical, ",
"282","CBD BCN (SPAIN)","cbd-bcn-spain"," CA",,
"283","CBD Crew (SPAIN)","cbd-crew-spain"," CA","Flower, ",
"284","CBD Cure (UK)","cbd-cure-uk"," CA","Concentrates, Edibles, Medical, ",
"285","CBD Drip","cbd-drip"," CA","Vapes, Medical, ",
"286","CBD for Life","cbd-for-life"," AZ",,
"287","CBD For The People","cbd-for-the-people"," CA",,
"288","CBD Fusion","cbd-fusion"," CA",,
"289","CBD Grind","cbd-grind"," MI","Edibles, Medical, ",
"290","CBD Hemp Indica","cbd-hemp-indica"," MI","Concentrates, Edibles, Medical, ",
"291","CBD Honey Stix","cbd-honey-stix"," CO","Edibles, ",
"292","CBD Luxe","cbd-luxe"," MI",,
"293","CBD MEDS","cbd-meds"," MI","Edibles, ",
"294","CBD NATURAL SOLUTIONS","cbd-natural-solutions"," MI","Medical, ",
"295","CBD Only Company","cbd-only-company"," MI","Concentrates, Edibles, Medical, ",
"296","CBD Tea","cbd-tea"," CA","Edibles, ",
"297","CBD Wellness","cbd-wellness"," Az","Edibles, Medical, ",
"298","CBD Xtreme","cbd-xtreme"," California","Concentrates, Edibles, Medical, ",
"299","CBDex Vitalhemp (SPAIN)","cbdex-vitalhemp-spain"," California","Edibles, ",
"300","CBDistillery","cbdistillery"," California",,
"301","CBDREEM","cbdreem"," CA","Edibles, ",
"302","CEAS","ceas"," CA","Flower, Concentrates, ",
"303","CEID","ceid"," CA","Concentrates, Edibles, ",
"304","Certified Portland","certified-portland"," Oregon","Flower, ",
"305","Chalice Farms","chalice-farms"," OR","Flower, Edibles, ",
"306","Champ","champ"," CA",,
"307","Cheba Bakery","cheba-bakery"," CA",,
"308","Cheef Naturals","cheef-naturals"," CA","Edibles, ",
"309","Cherry Haze Medibles","cherry-haze-medibles"," CA",,
"310","CHIEF","chief"," CA","Flower, ",
"311","Chief Extracts","chief-extracts"," CA","Medical, ",
"312","Chill Bill Extracts","chill-bill-extracts"," CA","Concentrates, ",
"313","Chill Gum","chill-gum"," CA",,
"314","Choice Remedy","choice-remedy"," CA","Edibles, Medical, ",
"315","Chronic Candy","chronic-candy"," CA","Edibles, Medical, ",
"316","Chronic Desserts","chronic-desserts"," CA","Edibles, ",
"317","Chronic Extracts","chronic-extracts"," CA","Concentrates, ",
"318","Chronic Health","chronic-health"," AZ","Medical, ",
"319","Chronic Snob Genetics","chronic-snob-genetics"," CA","Flower, Edibles, ",
"320","Chronic Solutions","chronic-solutions"," California",,
"321","Chronik Fusions","chronik-fusions"," CA","Concentrates, Vape Pens, Medical, ",
"322","Chroniker Vapes","chroniker-vapes"," CA",,
"323","ChroniKookies","chronikookies"," CA","Edibles, ",
"324","Cibadol","cibadol"," CA","Concentrates, Medical, ",
"325","Citizen THC eCigar","citizen-thc-ecigar"," CA",,
"326","Clarified Confections","clarified-confections"," CA","Edibles, ",
"327","Classic Concentrates","classic-concentrates"," CA","Concentrates, ",
"328","Claywolf","claywolf"," CA","Concentrates, ",
"329","Clean Concentrates","clean-concentrates"," CA","Flower, Concentrates, Vape Pens, Edibles, Medical, ",
"330","Clean Healing","clean-healing"," Ca","Edibles, Medical, ",
"331","Clean Pharmaceuticals","clean-pharmaceuticals"," Ca","Edibles, Medical, ",
"332","Clear Path Concentrates","clear-path-concentrates"," Ca","Concentrates, Vape Pens, Batteries, ",
"333","Clone Garden","clone-garden"," Ca","Flower, ",
"334","Cloud Supply Co.","cloud-supply-co"," Ca",,
"335","Clover-Land MM Brands","clover-land-mm-brands"," MI",,
"336","Co2 Clear","co2-clear"," CA","Vapes, ",
"337","Co2made","co2made"," CA","Concentrates, ",
"338","Coast Cannabis Farms","coast-cannabis-farms"," CA","Flower, Concentrates, ",
"339","Cobra Extracts","cobra-extracts"," CA",,
"340","Coco Extracts","coco-extracts"," MI","Concentrates, ",
"341","Cocoa Meds","cocoa-meds"," CA","Edibles, ",
"342","Coda Signature","coda-signature"," Colorado","Edibles, ",
"343","Coffin Chronic","coffin-chronic"," Colorado","Edibles, ",
"344","Cold Spring Cannabis","cold-spring-cannabis"," CA","Medical, ",
"345","Cold Stoned","cold-stoned"," CA","Edibles, ",
"346","Colheita Organic Rosin","colheita-organic-rosin"," CA",,
"347","Colorado Cannabis Company","colorado-cannabis-company"," CO","Flower, Concentrates, Vape Pens, Edibles, Medical, ",
"348","Concentrate Kings","concentrate-kings"," MI","Concentrates, Edibles, Medical, ",
"349","Concentrate Products","concentrate-products"," Co","Flower, Concentrates, ",
"350","Concentrate Remedies - CRx","concentrate-remedies-crx"," CO",,
"351","Concentrate Supply Co.","concentrate-supply-co"," CO","Concentrates, Vape Pens, ",
"352","Concentrated Connoisseurs","concentrated-connoisseurs"," Ca","Concentrates, ",
"353","Concentrated Creations","concentrated-creations"," Ca","Vapes, ",
"354","Concentrated Love","concentrated-love"," CO","Concentrates, ",
"355","Conscious Flowers","conscious-flowers"," CO","Flower, ",
"356","Cookies","cookies"," CA","Flower, ",
"357","Cooks Canna","cooks-canna"," CA","Flower, ",
"358","Cornucopia Infusions","cornucopia-infusions"," Arizona","Edibles, ",
"359","Cousin Andy","cousin-andy"," CA","Edibles, Medical, ",
"360","Cowlitz Gold","cowlitz-gold"," CA","Flower, ",
"361","Cpt Kush Concentrates","cpt-kush-concentrates"," CA","Concentrates, ",
"362","Craft Canna","craft-canna"," CA",,
"363","Craft Cannabis","craft-cannabis"," NV",,
"364","Craft Cannabis Concentrates","craft-cannabis-concentrates"," NV","Concentrates, Vape Pens, ",
"365","Craft Concentrates","craft-concentrates"," CO","Concentrates, Vape Pens, Edibles, ",
"366","Crafted Cannabis Co.","crafted-cannabis-co"," CA","Vapes, ",
"367","Crafted Hemp & CBD Co.","crafted-hemp-cbd-co"," CA","Vapes, ",
"368","CREAM Cannabis Confectionery","cream-cannabis-confectionery"," CA","Edibles, ",
"369","Cream of the Crop Gardens","cream-of-the-crop-gardens"," CA",,
"370","Creme De Canna Gardens & Extracts","creme-de-canna-gardens-extracts"," CA",,
"371","Critical Concentrates","critical-concentrates"," CA","Concentrates, ",
"372","Critical Pain Relief","critical-pain-relief"," CA","Medical, ",
"373","Crockett Family Farms","crockett-family-farms"," MI",,
"374","Crop King Seeds (CANADA)","crop-king-seeds-canada"," BC",,
"375","Crown Extracts","crown-extracts"," CA","Concentrates, ",
"376","Crown Genetics","crown-genetics"," CA","Flower, ",
"377","Crystal Clear Concentrates","crystal-clear-concentrates"," CA","Concentrates, ",
"378","Cult Classics Seeds","cult-classics-seeds"," CA","Flower, ",
"379","Cultivated Industries","cultivated-industries"," CA",,
"380","Cumulus Candies","cumulus-candies"," CA",,
"381","Cypress Confections","cypress-confections"," CA","Edibles, ",
"382","Da Saltwater Products","da-saltwater-products"," CA","Flower, Concentrates, ",
"383","Dab Dudes","dab-dudes"," CA","Concentrates, ",
"384","Dab Face Concentrates","dab-face-concentrates"," CA","Concentrates, Vape Pens, Batteries, ",
"385","Dab Smog","dab-smog"," CA","Concentrates, Edibles, Apparel, ",
"386","Dabba Doo","dabba-doo"," CA",,
"387","Dabbenport Extracts","dabbenport-extracts"," CA","Concentrates, ",
"388","DABBLE EXTRACTS","dabble-extracts"," CO","Concentrates, ",
"389","Dabblicious","dabblicious"," Ca","Concentrates, ",
"390","Dabchelada","dabchelada"," CA","Edibles, ",
"391","Dabsmiths","dabsmiths"," MI","Concentrates, ",
"392","Dabstract LLC","dabstract-llc"," MI",,
"393","Daddy Bones Balm","daddy-bones-balm"," CA","Medical, ",
"394","Dan O Dan","dan-o-dan"," CA","Edibles, ",
"395","Dank by Pank","dank-by-pank"," CA","Flower, ",
"396","Dank Kings","dank-kings"," CA",,
"397","Dank Rocks","dank-rocks"," CA","Flower, ",
"398","Dank Tank","dank-tank"," CA","Concentrates, Vape Pens, Medical, Batteries, ",
"399","Dark Horse Genetics","dark-horse-genetics"," CA","Flower, ",
"400","Darwin Brands","darwin-brands"," CA","Vapes, Edibles, ",
"401","Das Loves","das-loves"," CA","Edibles, ",
"402","Davis Farms","davis-farms"," CA",,
"403","Dawg Star Cannabis","dawg-star-cannabis"," WA","Flower, Concentrates, Vape Pens, ",
"404","Day Dreamers","day-dreamers"," CA","Concentrates, Edibles, Medical, ",
"405","De La Beuh","de-la-beuh"," CA","Medical, ",
"406","Dead Bird Concentrates","dead-bird-concentrates"," CA",,
"407","Deep Creek Gardens","deep-creek-gardens"," CA","Flower, ",
"408","DEEPWATER Botanicals","deepwater-botanicals"," WA","Flower, ",
"409","Defined Concentrates","defined-concentrates"," WA","Concentrates, ",
"410","DÃ©foncÃ©","defonce"," CA",,
"411","Delights","delights"," CA","Vapes, ",
"412","Delta 9","delta-9"," CA","Vapes, Edibles, Medical, ",
"413","Delta 9 Labs (NETHERLANDS)","delta-9-labs-netherlands"," CA","Flower, ",
"414","Denver Dab Co.","denver-dab-co"," CO","Concentrates, ",
